,brand_name,Ton,Electricity_Stars,ratings,no_of_ratings,discount_price,actual_price,more_inf0,image,link
0,Lloyd,1.5,3,4.2,2255,32999.0,58990.0,"['Inverter', 'Split', 'Ac', '(5', 'In', '1', 'Convertible,', 'Copper,', 'Anti-Viral', '+', 'Pm', '2.5', 'Filter,', '2023', 'Model,', 'White,', 'Gls18I3...']",https://m.media-amazon.com/images/I/31UISB90sYL._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS18I3FWAMC/dp/B0BRKXTSBT/ref=sr_1_4?qid=1679134237&s=kitchen&sr=1-4
1,LG,1.5,5,4.2,2948,46490.0,75990.0,"['AI', 'DUAL', 'Inverter', 'Split', 'AC', '(Copper,', 'Super', 'Convertible', '6-in-1', 'Cooling,', 'HD', 'Filter', 'with', 'Anti-Virus', 'Protectio...']",https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-RS-Q19YNZE/dp/B0BQ3MXML8/ref=sr_1_5?qid=1679134237&s=kitchen&sr=1-5
2,LG,1,4,4.2,1206,34490.0,61990.0,"['Ai', 'Dual', 'Inverter', 'Split', 'Ac', '(Copper,', 'Super', 'Convertible', '6-In-1', 'Cooling,', 'Hd', 'Filter', 'With', 'Anti', 'Virus', 'Protection,...']",https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Convertible-protection-RS-Q13JNYE/dp/B0BPYN9JGF/ref=sr_1_6?qid=1679134237&s=kitchen&sr=1-6
3,LG,1.5,3,4.0,69,37990.0,68990.0,"['AI', 'DUAL', 'Inverter', 'Split', 'AC', '(Copper,', 'Super', 'Convertible', '6-in-1', 'Cooling,', 'HD', 'Filter', 'with', 'Anti-Virus', 'Protectio...']",https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-RS-Q19JNXE/dp/B0BQ3MJ1TG/ref=sr_1_7?qid=1679134237&s=kitchen&sr=1-7
4,Carrier,1.5,3,4.1,630,34490.0,67790.0,"['Inverter', 'Split', 'AC', '(Copper,ESTER', 'Dxi,', '4-in-1', 'Flexicool', 'Inverter,', '2022', 'Model,R32,White)']",https://m.media-amazon.com/images/I/41lrtqXPiWL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Inverter-Split-Copper-Flexicool/dp/B0B67RLLJC/ref=sr_1_8?qid=1679134237&s=kitchen&sr=1-8
5,Voltas,1.4,3,4.0,1666,31990.0,70990.0,"['Inverter', 'Split', 'AC(Copper,', 'Adjustable', 'Cooling,', 'Anti-dust', 'Filter,', '2023', 'Model,', '173V', 'Vectra', 'Platina,', 'White)']",https://m.media-amazon.com/images/I/41TuyxwZ9mL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-173V-Vectra-Platina/dp/B0BRJ7N92P/ref=sr_1_9?qid=1679134237&s=kitchen&sr=1-9
6,Lloyd,1.0,3,4.2,1097,29999.0,49990.0,"['Inverter', 'Split', 'Ac', '(5', 'In', '1', 'Convertible,', 'Copper,', 'Anti-Viral', '+', 'Pm', '2.5', 'Filter,', '2023', 'Model,', 'White', 'With', 'Chr...']",https://m.media-amazon.com/images/I/31IXlxIPsOL._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS12I3FWAEV/dp/B0BRKX6FD5/ref=sr_1_10?qid=1679134237&s=kitchen&sr=1-10
7,Lloyd,1.5,5,4.3,1494,39990.0,67990.0,"['Inverter', 'Split', 'Ac', '(5', 'In', '1', 'Convertible,', 'Copper,', 'Anti-Viral', '+', 'Pm', '2.5', 'Filter,', '2023', 'Model,', 'White', 'With', 'Chr...']",https://m.media-amazon.com/images/I/31IXlxIPsOL._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS18I5FWBEV/dp/B0BRKXBRMF/ref=sr_1_11?qid=1679134237&s=kitchen&sr=1-11
8,Carrier,1,3,4.1,674,30990.0,58190.0,"['AI', 'Flexicool', 'Inverter', 'Split', 'AC', '(Copper,', 'Convertible', '4-in-1', 'Cooling,Dual', 'Filtration', 'with', 'HD', '&', 'PM', '2.5', 'F...']",https://m.media-amazon.com/images/I/51sTXvsanQL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Flexicool-Inverter-Convertible-Filtration/dp/B0BR58HRD2/ref=sr_1_12?qid=1679134237&s=kitchen&sr=1-12
9,Voltas,1.5,5,4.0,801,37999.0,73990.0,"['Inverter', 'Split', 'AC(Copper,', '4-in-1', 'Adjustable', 'Mode,', 'Anti-dust', 'Filter,', '2023', 'Model,', '185V', 'DAZJ,', 'White)']",https://m.media-amazon.com/images/I/51WQ3nWF0vL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Inverter-Split-Conditioner-VOLTAS/dp/B09WDP2DLF/ref=sr_1_16?qid=1679134237&s=kitchen&sr=1-16
